Date,Type,Niveau,SurfacePermis,SurfaceChantiers
2014-02-01,Industrie,Sous-destination,289950,229712
2014-03-01,Commerce et services,Destination,562985,481795
2014-03-01,Exploitation agricole ou forestière,Destination,843480,565626
2014-03-01,"Industrie, entrepôts et bureaux",Destination,922204,714696
2014-03-01,Équipements publics,Destination,571296,446606
2014-03-01,Bureaux,Sous-destination,352939,222966
2014-03-01,Entrepôts,Sous-destination,360060,207507
2014-03-01,Hôtels,Sous-destination,73234,40923
2014-03-01,Industrie,Sous-destination,263892,255068
2014-04-01,Commerce et services,Destination,419958,372023
2014-04-01,Exploitation agricole ou forestière,Destination,726386,462625
2014-04-01,"Industrie, entrepôts et bureaux",Destination,1135253,617724
2014-04-01,Équipements publics,Destination,410893,344464
2014-04-01,Bureaux,Sous-destination,391500,193474
2014-04-01,Entrepôts,Sous-destination,521574,253499
2014-04-01,Hôtels,Sous-destination,39948,35225
2014-04-01,Industrie,Sous-destination,311313,190228
2014-05-01,Commerce et services,Destination,490609,365411
2014-05-01,Exploitation agricole ou forestière,Destination,744053,401575
2014-05-01,"Industrie, entrepôts et bureaux",Destination,931136,554723
2014-05-01,Équipements publics,Destination,416429,388148
2014-05-01,Bureaux,Sous-destination,291060,209596
2014-05-01,Entrepôts,Sous-destination,456715,170028
2014-05-01,Hôtels,Sous-destination,47111,76435
2014-05-01,Industrie,Sous-destination,246089,150154
2014-06-01,Commerce et services,Destination,612773,341708
2014-06-01,Exploitation agricole ou forestière,Destination,831981,541512
2014-06-01,"Industrie, entrepôts et bureaux",Destination,1153469,788292
2014-06-01,Équipements publics,Destination,504434,432959
2014-06-01,Bureaux,Sous-destination,394125,327776
2014-06-01,Entrepôts,Sous-destination,465763,203682
2014-06-01,Hôtels,Sous-destination,75560,35679
2014-06-01,Industrie,Sous-destination,313463,196644
2014-07-01,Commerce et services,Destination,570994,564689
2014-07-01,Exploitation agricole ou forestière,Destination,823087,517015
2014-07-01,"Industrie, entrepôts et bureaux",Destination,1350508,756755
2014-07-01,Équipements publics,Destination,489839,505366
2014-07-01,Bureaux,Sous-destination,343755,251990
2014-07-01,Entrepôts,Sous-destination,688487,223353
2014-07-01,Hôtels,Sous-destination,84398,39548
2014-07-01,Industrie,Sous-destination,315842,302954
2014-08-01,Commerce et services,Destination,570142,380526
2014-08-01,Exploitation agricole ou forestière,Destination,937460,487851
2014-08-01,"Industrie, entrepôts et bureaux",Destination,933107,803001
2014-08-01,Équipements publics,Destination,458704,299539
2014-08-01,Bureaux,Sous-destination,321840,225183
2014-08-01,Entrepôts,Sous-destination,312342,437254
2014-08-01,Hôtels,Sous-destination,55607,32476
2014-08-01,Industrie,Sous-destination,239982,196832
2014-09-01,Commerce et services,Destination,610417,342250
2014-09-01,Exploitation agricole ou forestière,Destination,841532,521809
2014-09-01,"Industrie, entrepôts et bureaux",Destination,954128,751690
2014-09-01,Équipements publics,Destination,560164,344188
2014-09-01,Bureaux,Sous-destination,301730,273034
2014-09-01,Entrepôts,Sous-destination,333010,259173
2014-09-01,Hôtels,Sous-destination,64597,87432
2014-09-01,Industrie,Sous-destination,243461,205957
2014-10-01,Commerce et services,Destination,468942,368858
2014-10-01,Exploitation agricole ou forestière,Destination,846267,544593
2014-10-01,"Industrie, entrepôts et bureaux",Destination,924088,697956
2014-10-01,Équipements publics,Destination,420543,356686
2014-10-01,Bureaux,Sous-destination,274153,235130
2014-10-01,Entrepôts,Sous-destination,455697,266094
2014-10-01,Hôtels,Sous-destination,59070,49980
2014-10-01,Industrie,Sous-destination,166521,187893
2014-11-01,Commerce et services,Destination,429161,400857
2014-11-01,Exploitation agricole ou forestière,Destination,706670,728565
2014-11-01,"Industrie, entrepôts et bureaux",Destination,933237,791080
2014-11-01,Équipements publics,Destination,352302,343340
2014-11-01,Bureaux,Sous-destination,239755,210907
2014-11-01,Entrepôts,Sous-destination,382025,295884
2014-11-01,Hôtels,Sous-destination,39580,55328
2014-11-01,Industrie,Sous-destination,364899,281534
2014-12-01,Commerce et services,Destination,551371,356345
2014-12-01,Exploitation agricole ou forestière,Destination,775240,501293
2014-12-01,"Industrie, entrepôts et bureaux",Destination,1052626,592752
2014-12-01,Équipements publics,Destination,506020,224976
2014-12-01,Bureaux,Sous-destination,305039,223553
2014-12-01,Entrepôts,Sous-destination,533431,190395
2014-12-01,Hôtels,Sous-destination,75815,67033
2014-12-01,Industrie,Sous-destination,245180,141496
2015-01-01,Commerce et services,Destination,435324,340531
2015-01-01,Exploitation agricole ou forestière,Destination,697996,547787
2015-01-01,"Industrie, entrepôts et bureaux",Destination,806460,842839
2015-01-01,Équipements publics,Destination,415392,356081
2015-01-01,Bureaux,Sous-destination,317125,396274
2015-01-01,Entrepôts,Sous-destination,326480,227770
2015-01-01,Hôtels,Sous-destination,58267,29927
2015-01-01,Industrie,Sous-destination,184857,173210
2015-02-01,Commerce et services,Destination,446802,398744
2015-02-01,Exploitation agricole ou forestière,Destination,836383,383690
2015-02-01,"Industrie, entrepôts et bureaux",Destination,1028436,700473
2015-02-01,Équipements publics,Destination,507773,418147
2015-02-01,Bureaux,Sous-destination,330451,207933
2015-02-01,Entrepôts,Sous-destination,411562,316667
2015-02-01,Hôtels,Sous-destination,55023,24229
2015-02-01,Industrie,Sous-destination,255560,141001
2015-03-01,Commerce et services,Destination,536221,346649
2015-03-01,Exploitation agricole ou forestière,Destination,782393,444033
2015-03-01,"Industrie, entrepôts et bureaux",Destination,1068544,538190
2015-03-01,Équipements publics,Destination,374720,321991
2015-03-01,Bureaux,Sous-destination,367682,211678
2015-03-01,Entrepôts,Sous-destination,437214,184785
2015-03-01,Hôtels,Sous-destination,96332,39700
2015-03-01,Industrie,Sous-destination,310224,127930
2015-04-01,Commerce et services,Destination,540880,255973
2015-04-01,Exploitation agricole ou forestière,Destination,985796,466524
2015-04-01,"Industrie, entrepôts et bureaux",Destination,860004,703170
2015-04-01,Équipements publics,Destination,378645,326639
2015-04-01,Bureaux,Sous-destination,302892,225328
2015-04-01,Entrepôts,Sous-destination,376588,293562
2015-04-01,Hôtels,Sous-destination,95987,28052
2015-04-01,Industrie,Sous-destination,245268,259606
2015-05-01,Commerce et services,Destination,468686,213743
2015-05-01,Exploitation agricole ou forestière,Destination,985943,437428
2015-05-01,"Industrie, entrepôts et bureaux",Destination,1003652,619234
2015-05-01,Équipements publics,Destination,343631,315533
2015-05-01,Bureaux,Sous-destination,307637,223118
2015-05-01,Entrepôts,Sous-destination,476290,228332
2015-05-01,Hôtels,Sous-destination,50347,6184
2015-05-01,Industrie,Sous-destination,271740,159516
2015-06-01,Commerce et services,Destination,522442,392821
2015-06-01,Exploitation agricole ou forestière,Destination,1003324,516878
2015-06-01,"Industrie, entrepôts et bureaux",Destination,1141986,685229
2015-06-01,Équipements publics,Destination,411747,426685
2015-06-01,Bureaux,Sous-destination,332081,232957
2015-06-01,Entrepôts,Sous-destination,460615,185523
2015-06-01,Hôtels,Sous-destination,69884,32337
2015-06-01,Industrie,Sous-destination,317844,220412
2015-07-01,Commerce et services,Destination,555578,319237
2015-07-01,Exploitation agricole ou forestière,Destination,927925,505848
2015-07-01,"Industrie, entrepôts et bureaux",Destination,1252048,742749
2015-07-01,Équipements publics,Destination,376144,385498
2015-07-01,Bureaux,Sous-destination,362658,212461
2015-07-01,Entrepôts,Sous-destination,526913,368277
2015-07-01,Hôtels,Sous-destination,81634,18348
2015-07-01,Industrie,Sous-destination,300271,213357
2015-08-01,Commerce et services,Destination,569514,310609
2015-08-01,Exploitation agricole ou forestière,Destination,942475,435360
2015-08-01,"Industrie, entrepôts et bureaux",Destination,858078,504780
2015-08-01,Équipements publics,Destination,406705,346999
2015-08-01,Bureaux,Sous-destination,397377,218742
2015-08-01,Entrepôts,Sous-destination,228774,223632
2015-08-01,Hôtels,Sous-destination,52601,20950
2015-08-01,Industrie,Sous-destination,203546,118640
2015-09-01,Commerce et services,Destination,564889,361047
2015-09-01,Exploitation agricole ou forestière,Destination,840804,628298
2015-09-01,"Industrie, entrepôts et bureaux",Destination,1128810,729193
2015-09-01,Équipements publics,Destination,519106,358399
2015-09-01,Bureaux,Sous-destination,401403,213288
2015-09-01,Entrepôts,Sous-destination,361368,313566
2015-09-01,Hôtels,Sous-destination,100044,38687
2015-09-01,Industrie,Sous-destination,304546,171464
2015-10-01,Commerce et services,Destination,585192,320347
2015-10-01,Exploitation agricole ou forestière,Destination,944614,456859
2015-10-01,"Industrie, entrepôts et bureaux",Destination,1207145,618249
2015-10-01,Équipements publics,Destination,434976,390147
2015-10-01,Bureaux,Sous-destination,384089,203155
2015-10-01,Entrepôts,Sous-destination,433655,240803
2015-10-01,Hôtels,Sous-destination,113485,21369
2015-10-01,Industrie,Sous-destination,318843,165712
2015-11-01,Commerce et services,Destination,634791,471660
2015-11-01,Exploitation agricole ou forestière,Destination,916509,530193
2015-11-01,"Industrie, entrepôts et bureaux",Destination,994277,748031
2015-11-01,Équipements publics,Destination,456443,397098
2015-11-01,Bureaux,Sous-destination,303319,288887
2015-11-01,Entrepôts,Sous-destination,443570,258319
2015-11-01,Hôtels,Sous-destination,100802,94439
2015-11-01,Industrie,Sous-destination,293156,196046
2015-12-01,Commerce et services,Destination,534852,348091
2015-12-01,Exploitation agricole ou forestière,Destination,891373,448517
2015-12-01,"Industrie, entrepôts et bureaux",Destination,925415,609351
2015-12-01,Équipements publics,Destination,461930,263621
2015-12-01,Bureaux,Sous-destination,286271,200866
2015-12-01,Entrepôts,Sous-destination,495174,252662
2015-12-01,Hôtels,Sous-destination,145646,33240
2015-12-01,Industrie,Sous-destination,182842,184942
2016-01-01,Commerce et services,Destination,692968,451565
2016-01-01,Exploitation agricole ou forestière,Destination,894040,529891
2016-01-01,"Industrie, entrepôts et bureaux",Destination,1089374,1052021
2016-01-01,Équipements publics,Destination,394910,347481
2016-01-01,Bureaux,Sous-destination,319073,413272
2016-01-01,Entrepôts,Sous-destination,547648,365271
2016-01-01,Hôtels,Sous-destination,58636,78565
2016-01-01,Industrie,Sous-destination,282555,205567
2016-02-01,Commerce et services,Destination,665848,328157
2016-02-01,Exploitation agricole ou forestière,Destination,945560,555838
2016-02-01,"Industrie, entrepôts et bureaux",Destination,1042309,641718
2016-02-01,Équipements publics,Destination,452251,313612
2016-02-01,Bureaux,Sous-destination,308516,310675
2016-02-01,Entrepôts,Sous-destination,440195,229944
2016-02-01,Hôtels,Sous-destination,123036,32665
2016-02-01,Industrie,Sous-destination,262906,142426
2016-03-01,Commerce et services,Destination,450424,368638
2016-03-01,Exploitation agricole ou forestière,Destination,948895,599896
2016-03-01,"Industrie, entrepôts et bureaux",Destination,953659,727300
2016-03-01,Équipements publics,Destination,434141,376276
2016-03-01,Bureaux,Sous-destination,329609,242485
2016-03-01,Entrepôts,Sous-destination,409124,278910
2016-03-01,Hôtels,Sous-destination,65599,33369
2016-03-01,Industrie,Sous-destination,244153,185177
2016-04-01,Commerce et services,Destination,571557,430415
2016-04-01,Exploitation agricole ou forestière,Destination,1116180,502773
2016-04-01,"Industrie, entrepôts et bureaux",Destination,1337617,659992
2016-04-01,Équipements publics,Destination,404990,335785
2016-04-01,Bureaux,Sous-destination,601906,267082
2016-04-01,Entrepôts,Sous-destination,546533,238597
2016-04-01,Hôtels,Sous-destination,82146,40694
2016-04-01,Industrie,Sous-destination,316746,195155
2016-05-01,Commerce et services,Destination,565576,349237
2016-05-01,Exploitation agricole ou forestière,Destination,664825,510440
2016-05-01,"Industrie, entrepôts et bureaux",Destination,1031872,990025
2016-05-01,Équipements publics,Destination,487398,331746
2016-05-01,Bureaux,Sous-destination,408432,314085
2016-05-01,Entrepôts,Sous-destination,390754,509154
2016-05-01,Hôtels,Sous-destination,74611,40108
2016-05-01,Industrie,Sous-destination,299196,202305
2016-06-01,Commerce et services,Destination,599175,372677
2016-06-01,Exploitation agricole ou forestière,Destination,717782,558913
2016-06-01,"Industrie, entrepôts et bureaux",Destination,1060008,814523
2016-06-01,Équipements publics,Destination,453993,358103
2016-06-01,Bureaux,Sous-destination,346150,227221
2016-06-01,Entrepôts,Sous-destination,439770,362330
2016-06-01,Hôtels,Sous-destination,133802,57618
2016-06-01,Industrie,Sous-destination,259813,212709
2016-07-01,Commerce et services,Destination,621431,231471
2016-07-01,Exploitation agricole ou forestière,Destination,705719,306183
2016-07-01,"Industrie, entrepôts et bureaux",Destination,1025683,571376
2016-07-01,Équipements publics,Destination,380567,254389
2016-07-01,Bureaux,Sous-destination,257918,219909
2016-07-01,Entrepôts,Sous-destination,508852,184976
2016-07-01,Hôtels,Sous-destination,63922,14389
2016-07-01,Industrie,Sous-destination,224719,169457
2016-08-01,Commerce et services,Destination,928048,453404
2016-08-01,Exploitation agricole ou forestière,Destination,964832,475316
2016-08-01,"Industrie, entrepôts et bureaux",Destination,1321249,694348
2016-08-01,Équipements publics,Destination,582344,345788
2016-08-01,Bureaux,Sous-destination,351652,231344
2016-08-01,Entrepôts,Sous-destination,580464,291209
2016-08-01,Hôtels,Sous-destination,83308,61398
2016-08-01,Industrie,Sous-destination,341475,211376
2016-09-01,Commerce et services,Destination,597502,327584
2016-09-01,Exploitation agricole ou forestière,Destination,811530,526535
2016-09-01,"Industrie, entrepôts et bureaux",Destination,1367878,666445
2016-09-01,Équipements publics,Destination,481370,396216
2016-09-01,Bureaux,Sous-destination,420946,244579
2016-09-01,Entrepôts,Sous-destination,613198,238673
2016-09-01,Hôtels,Sous-destination,81717,38197
2016-09-01,Industrie,Sous-destination,301959,205514
2016-10-01,Commerce et services,Destination,681629,324455
2016-10-01,Exploitation agricole ou forestière,Destination,750938,520398
2016-10-01,"Industrie, entrepôts et bureaux",Destination,1260693,992142
2016-10-01,Équipements publics,Destination,478952,335285
2016-10-01,Bureaux,Sous-destination,318726,219818
2016-10-01,Entrepôts,Sous-destination,631031,599445
2016-10-01,Hôtels,Sous-destination,75213,46486
2016-10-01,Industrie,Sous-destination,271827,147180
2016-11-01,Commerce et services,Destination,524335,291465
2016-11-01,Exploitation agricole ou forestière,Destination,780284,482646
2016-11-01,"Industrie, entrepôts et bureaux",Destination,1260032,709313
2016-11-01,Équipements publics,Destination,468674,338339
2016-11-01,Bureaux,Sous-destination,382832,234036
2016-11-01,Entrepôts,Sous-destination,630450,283406
2016-11-01,Hôtels,Sous-destination,63512,25428
2016-11-01,Industrie,Sous-destination,261629,181883
2016-12-01,Commerce et services,Destination,614433,470277
2016-12-01,Exploitation agricole ou forestière,Destination,756141,547185
2016-12-01,"Industrie, entrepôts et bureaux",Destination,1274168,873454
2016-12-01,Équipements publics,Destination,467193,441684
2016-12-01,Bureaux,Sous-destination,395916,275850
2016-12-01,Entrepôts,Sous-destination,500353,331513
2016-12-01,Hôtels,Sous-destination,104480,91047
2016-12-01,Industrie,Sous-destination,359633,316047
2017-01-01,Commerce et services,Destination,633673,440179
2017-01-01,Exploitation agricole ou forestière,Destination,823450,489641
2017-01-01,"Industrie, entrepôts et bureaux",Destination,1044643,684113
2017-01-01,Équipements publics,Destination,467986,341809
2017-01-01,Bureaux,Sous-destination,337436,264392
2017-01-01,Entrepôts,Sous-destination,504901,199547
2017-01-01,Hôtels,Sous-destination,80913,35240
2017-01-01,Industrie,Sous-destination,273149,194400
2017-02-01,Commerce et services,Destination,503821,383717
2017-02-01,Exploitation agricole ou forestière,Destination,790676,441933
2017-02-01,"Industrie, entrepôts et bureaux",Destination,1154726,727884
2017-02-01,Équipements publics,Destination,382587,368577
2017-02-01,Bureaux,Sous-destination,249867,259069
2017-02-01,Entrepôts,Sous-destination,600362,243452
2017-02-01,Hôtels,Sous-destination,60128,64185
2017-02-01,Industrie,Sous-destination,251841,221664
2017-03-01,Commerce et services,Destination,676517,310710
2017-03-01,Exploitation agricole ou forestière,Destination,892308,562261
2017-03-01,"Industrie, entrepôts et bureaux",Destination,1143179,1047215
2017-03-01,Équipements publics,Destination,529395,274549
2017-03-01,Bureaux,Sous-destination,309586,347652
2017-03-01,Entrepôts,Sous-destination,534508,535771
2017-03-01,Hôtels,Sous-destination,129830,41836
2017-03-01,Industrie,Sous-destination,318198,157011
2017-04-01,Commerce et services,Destination,666614,370802
2017-04-01,Exploitation agricole ou forestière,Destination,726990,523398
2017-04-01,"Industrie, entrepôts et bureaux",Destination,1146406,965896
2017-04-01,Équipements publics,Destination,519102,390940
2017-04-01,Bureaux,Sous-destination,655268,249100
2017-04-01,Entrepôts,Sous-destination,360394,527229
2017-04-01,Hôtels,Sous-destination,162704,68382
2017-04-01,Industrie,Sous-destination,251941,188152
2017-05-01,Commerce et services,Destination,623112,321039
2017-05-01,Exploitation agricole ou forestière,Destination,795237,377460
2017-05-01,"Industrie, entrepôts et bureaux",Destination,1302361,742309
2017-05-01,Équipements publics,Destination,607634,329261
2017-05-01,Bureaux,Sous-destination,457965,266790
2017-05-01,Entrepôts,Sous-destination,576601,287641
2017-05-01,Hôtels,Sous-destination,70318,38991
2017-05-01,Industrie,Sous-destination,330955,179320
2017-06-01,Commerce et services,Destination,880719,374866
2017-06-01,Exploitation agricole ou forestière,Destination,805281,520194
2017-06-01,"Industrie, entrepôts et bureaux",Destination,1222700,890103
2017-06-01,Équipements publics,Destination,427186,389858
2017-06-01,Bureaux,Sous-destination,427071,249218
2017-06-01,Entrepôts,Sous-destination,484668,443104
2017-06-01,Hôtels,Sous-destination,85432,80211
2017-06-01,Industrie,Sous-destination,292968,198743
2017-07-01,Commerce et services,Destination,708407,316037
2017-07-01,Exploitation agricole ou forestière,Destination,834178,318303
2017-07-01,"Industrie, entrepôts et bureaux",Destination,1242676,640606
2017-07-01,Équipements publics,Destination,504446,254306
2017-07-01,Bureaux,Sous-destination,389913,318455
2017-07-01,Entrepôts,Sous-destination,444326,179108
2017-07-01,Hôtels,Sous-destination,102935,34157
2017-07-01,Industrie,Sous-destination,311644,178474
2017-08-01,Commerce et services,Destination,824949,553505
2017-08-01,Exploitation agricole ou forestière,Destination,851974,551314
2017-08-01,"Industrie, entrepôts et bureaux",Destination,1814282,847703
2017-08-01,Équipements publics,Destination,634152,508915
2017-08-01,Bureaux,Sous-destination,434195,315435
2017-08-01,Entrepôts,Sous-destination,756291,383207
2017-08-01,Hôtels,Sous-destination,136237,51674
2017-08-01,Industrie,Sous-destination,628777,211840
2017-09-01,Commerce et services,Destination,666810,447707
2017-09-01,Exploitation agricole ou forestière,Destination,839701,492427
2017-09-01,"Industrie, entrepôts et bureaux",Destination,1492286,1295563
2017-09-01,Équipements publics,Destination,470492,368758
2017-09-01,Bureaux,Sous-destination,419129,280500
2017-09-01,Entrepôts,Sous-destination,759901,742318
2017-09-01,Hôtels,Sous-destination,118172,50293
2017-09-01,Industrie,Sous-destination,306632,203118
2017-10-01,Commerce et services,Destination,692860,388608
2017-10-01,Exploitation agricole ou forestière,Destination,918446,532975
2017-10-01,"Industrie, entrepôts et bureaux",Destination,1466656,944485
2017-10-01,Équipements publics,Destination,544501,316235
2017-10-01,Bureaux,Sous-destination,431566,206199
2017-10-01,Entrepôts,Sous-destination,815562,456833
2017-10-01,Hôtels,Sous-destination,91436,40130
2017-10-01,Industrie,Sous-destination,204371,230887
2017-11-01,Commerce et services,Destination,734098,473744
2017-11-01,Exploitation agricole ou forestière,Destination,760665,465605
2017-11-01,"Industrie, entrepôts et bureaux",Destination,1209752,923236
2017-11-01,Équipements publics,Destination,567027,391418
2017-11-01,Bureaux,Sous-destination,469053,332763
2017-11-01,Entrepôts,Sous-destination,412069,283984
2017-11-01,Hôtels,Sous-destination,152197,56152
2017-11-01,Industrie,Sous-destination,336263,333293
2017-12-01,Commerce et services,Destination,747122,355058
2017-12-01,Exploitation agricole ou forestière,Destination,789689,446074
2017-12-01,"Industrie, entrepôts et bureaux",Destination,1302336,975615
2017-12-01,Équipements publics,Destination,451273,370348
2017-12-01,Bureaux,Sous-destination,426142,293458
2017-12-01,Entrepôts,Sous-destination,462664,422737
2017-12-01,Hôtels,Sous-destination,150875,56350
2017-12-01,Industrie,Sous-destination,377673,257426
2018-01-01,Commerce et services,Destination,542288,385813
2018-01-01,Exploitation agricole ou forestière,Destination,1190411,472529
2018-01-01,"Industrie, entrepôts et bureaux",Destination,1314357,984363
2018-01-01,Équipements publics,Destination,445958,405608
2018-01-01,Bureaux,Sous-destination,541486,292383
2018-01-01,Entrepôts,Sous-destination,553041,407652
2018-01-01,Hôtels,Sous-destination,118201,57345
2018-01-01,Industrie,Sous-destination,315017,191805
2018-02-01,Commerce et services,Destination,598061,423378
2018-02-01,Exploitation agricole ou forestière,Destination,762800,540514
2018-02-01,"Industrie, entrepôts et bureaux",Destination,1299010,1014704
2018-02-01,Équipements publics,Destination,650518,340595
2018-02-01,Bureaux,Sous-destination,564139,393008
2018-02-01,Entrepôts,Sous-destination,346111,317068
2018-02-01,Hôtels,Sous-destination,73406,37924
2018-02-01,Industrie,Sous-destination,412215,311126
2018-03-01,Commerce et services,Destination,639772,377075
2018-03-01,Exploitation agricole ou forestière,Destination,694429,550828
2018-03-01,"Industrie, entrepôts et bureaux",Destination,1657335,895706
2018-03-01,Équipements publics,Destination,611422,511564
2018-03-01,Bureaux,Sous-destination,601664,333109
2018-03-01,Entrepôts,Sous-destination,768071,333728
2018-03-01,Hôtels,Sous-destination,121180,47408
2018-03-01,Industrie,Sous-destination,290468,233225
2018-04-01,Commerce et services,Destination,471431,353371
2018-04-01,Exploitation agricole ou forestière,Destination,672404,338911
2018-04-01,"Industrie, entrepôts et bureaux",Destination,1347877,818689
2018-04-01,Équipements publics,Destination,480837,264330
2018-04-01,Bureaux,Sous-destination,453647,361561
2018-04-01,Entrepôts,Sous-destination,646263,218540
2018-04-01,Hôtels,Sous-destination,84268,66478
